Cód.Original;Baia;Corredor;Nível;Cód.Barras
10109;;;1;789267700104 5
50017814;;;1;789053711534 5
E59201;;;1;120150191127 0
E59110;;;1;120150191126 3
S59600;;;1;120150191051 8
11906GU;;;1;730020191628 9
77616620;;;1;789053710345 8
R55411S;;;1;230200190718 9
11306AG;;;1;789854426056 0
S59310;;;1;120150191048 8
S59300;;;1;120150191047 1
S59201;;;1;120150191045 7
K59310;;;1;120160190934 4
97295960;;;1;789053710987 0
K59300;;;1;120160190933 7
K59330;;;1;120160190936 8
K59210;;;1;120020190932 7
K59110;;;1;120160190930 6
K59100;;;1;120160190929 0
78852628;;;1;789002435311 3
32907B;;;1;230020190505 9
32507B;;;1;230020190280 5
31807B;;;1;230020190268 3
32500B;;;1;230020190278 2
MM100567;ADTVO;;1;789000339027 6
MM100566;ADTVO;;1;789018938798 5
71716NA; 052;;1;789854427134 4
800021241 050; 095;;1;789000033410 5
10118;E;;1;789267700118 2
922580191048; 01;A;1;789582512558 7
922550191048;01A;A;1;789001640333 8
922580191068; 02;A;1;789582512559 4
922550191068;02A;A;1;789001640480 9
922680190148; 03;A;1;789582512683 6
922650190148; 03;A;1;789000041015 1
922980191428; 04;A;1;789582514750 3
922950191428;04A;A;1;789582584807 3
922980192908; 05;A;1;789582519485 9
922950192908;05A;A;1;789001640143 3
922980192958; 06;A;1;789582519490 3
922950192958;06A;A;1;789582584822 6
922980193018; 07;A;1;789582519495 8
922950193018;07A;A;1;789582584819 6
922980192898;10;A;1;789582519484 2
922900190748;11;A;1;789582512793 2
922980192888;12;A;1;789582519483 5
941080191118;15;A;1;789582519513 9
941080191128;16;A;1;789582519511 5
941080191138;17;A;1;789582519508 5
941050191138;17A;A;1;789582584820 2
941080191148;18;A;1;789582519510 8
941080191158;19;A;1;789582519509 2
941050191158;19;A;1;789582585129 5
961080191178;20;A;1;789582519512 2
961050191178;20A;A;1;789001640656 8
961250190118;21;A;1;789002340257 7
961250190138;22;A;1;789000040893 6
961280190488;23;A;1;789582524712 8
940750191076;24;A;1;789001640800 5
940780191076;24;A;1;789582530742 6
940780191146;25;A;1;789582530515 6
940750191146;25;A;1;789000041074 8
940750191126;26;A;1;789001640819 7
940780191126;26;A;1;789582530497 5
940750191136;27;A;1;789001640811 1
940780191156;28;A;1;789582530563 7
940750191086;29;A;1;789001640362 8
961250190648;31;A;1;789001640316 1
961280190648;31;A;1;789582525707 3
922901700034;35;A;1;789582513040 6
922901700544;36;A;1;789582513056 7
922901700464;37;A;1;789582513055 0
922901700444;38;A;1;789582513054 3
922901700364;39;A;1;789582513053 6
7004000C91;40;A;1;789582526093 6
7004014C91E;41;A;1;789582525514 7
961201700014;41;A;1;789582518577 2
940781700046;42;A;1;789582521869 2
940781700086;43;A;1;789582521867 8
960751700046E;44;A;1;789001638917 5
7008453R1E; 01;C;1;789000040877 6
61074250; 02;C;1;789537216167 0
70530054RE; 03;C;1;789582537200 4
7008455R1E; 04;C;1;789003540724 9
70530043RE; 04;C;1;789582537029 1
70530044RE; 05;C;1;789003534234 2
70530042RE; 07;C;1;789582522063 3
7008454R1E; 07;C;1;789003540822 2
70530020; 09;C;1;100350051605 6
7008452R1E; 09;C;1;789000041030 4
70530050RE;10;C;1;789582537025 3
7008451R1E;10A;C;1;789000040890 5
70530022;11;C;1;789582504121 4
70530052RE;12;C;1;789582537855 6
7008293R91;13;C;1;789001640664 3
I41014;13;C;1;789582519583 2
P4050;14;C;1;789582519939 7
P4051;15;C;1;789582519941 0
7008506R91;17;C;1;789000041093 9
S1037;18;C;1;789582519557 3
K57280;22;C;1;120160050274 4
6354162;22;C;1;789582519556 6
7008291R91;24;C;1;789000040967 4
I41013;24;C;1;789582519562 7
7008505R91;25;C;1;789000041048 9
I41T009;27;C;1;789582519552 8
R7001455C91;28;C;1;789001640667 4
424878;29;C;1;789582519547 4
7008296R91;29;C;1;789000040918 6
7008285R91;31;C;1;789001640723 7
I39A003;32;C;1;789582519558 0
I39A001;33;C;1;789582519548 1
4203208;34;C;1;789582519561 0
7008095R91;35;C;1;789001640666 7
4203207;36;C;1;789582519564 1
3152191;37;C;1;789582508551 5
3152135;38;C;1;789582507476 2
4203154;39;C;1;789582507602 5
423616;40;C;1;789582507604 9
7008281R91;40;C;1;789001540665 1
423647;41;C;1;789582507608 7
7008284R91;41;C;1;789001540823 5
4236118;42;C;1;789582507603 2
424844;43;C;1;789582507609 4
7008277R91;44;C;1;789000040908 7
S4078;44;C;1;789582508549 2
S4079;45;C;1;789582508548 5
S4081;46;C;1;789582508555 3
S4082;47;C;1;789582508556 0
P4047;48;C;1;789582508553 9
7008292R91;48;C;1;789001540681 1
P4046;49;C;1;789582508554 6
635429;50;C;1;789582507613 1
635478;51;C;1;789582507614 8
6357107;52;C;1;789582507615 5
635852;53;C;1;789582507617 9
S1016;55;C;1;789582506999 7
7008055R91;55;C;1;789000040999 5
7008070R91;56;C;1;789001639453 7
635845E;56;C;1;789582500723 4
7008066R91;57;C;1;789582535693 6
635759;57;C;1;789582500706 7
635477;59;C;1;789582500682 4
7008057R91;59;C;1;789582535697 4
7008045R91;60;C;1;789582535805 3
70993854;61;C;1;789582519915 1
S4006;63;C;1;789582500517 9
7008049R91;63;C;1;789582535657 8
7008061R91;64;C;1;789582535692 9
A57220 STD;64;C;1;789476601183 6
7008724R91E;65;C;1;789000041053 3
424843;65;C;1;789582500630 5
7008041R91;65;C;1;789582535873 2
7008031R91;67;C;1;789582535849 7
4236151;67;C;1;789582501491 1
7008714R91E;67;C;1;789000041106 6
423614;68;C;1;789582500594 0
7008052R91;68;C;1;789582535782 7
7008037R91;69;C;1;789582535691 2
7008720R91E;69;C;1;789000041040 3
3152158;69;C;1;789582501419 5
3152165;70;C;1;789582501426 3
7008419R91;71;C;1;789003040829 6
S1015;71;C;1;789582507083 2
961201450055; 01;D;1;789582518565 9
71221FA; 02;D;1;730020041348 2
71107SCR; 03;D;1;789854426809 2
71106SCR; 05;D;1;789854426806 1
71110SCR; 06;D;1;789854426818 4
71904SCR; 07;D;1;789854427202 0
71905SCR; 08;D;1;789854427204 4
71826BO; 09;D;1;170020023609 2
71906SCR;12;D;1;789000237924 1
71907SCR;13;D;1;789000237424 6
961280130076;14;D;1;789000237297 6
61506UC;14A;D;1;730020191007 2
78006;14B;D;1;789000240558 2
61411U;14C;D;1;789000238098 8
61311U;14D;D;1;789854427267 9
961280130146;15;D;1;789582530864 5
961280130096;16;D;1;789582525157 6
941280130026;17;D;1;789582517251 2
961080130236;18;D;1;789582518337 2
941280130076;19;D;1;789000240288 8
960708530084E;20;D;1;789582536642 3
71726B;21;D;1;789854427135 1
71122NAK;22;D;1;789000235260 2
961058530034;24;D;1;789000240810 1
961008530034E;25;D;1;789582518062 3
961088530524;26;D;1;789582521481 6
961058530364E;26;D;1;789000040946 9
71921FA;27;D;1;730020121360 9
941008530164E;28;D;1;789582516797 6
71921NAK;29;D;1;789854427144 3
71226NA;30;D;1;789854428977 6
71226CB;31;D;1;789854427119 1
71126CB;32;D;1;789854427113 9
922908530064E;33;D;1;789582513759 7
922958530444E;34;D;1;789000040892 9
71326B;35;D;1;789854427128 3
922908530444E;36;D;1;789582513788 7
71221NAK;37;D;1;789000235325 8
922908530684E;38;D;1;789582536597 6
961280130116;39;D;1;789002340564 6
901537000015;40;D;1;789582510424 7
922508540034E;41;D;1;789582536867 0
922688540114;42;D;1;789582512694 2
922608540104E;43;D;1;789582512647 8
922988540154;44;D;1;789582515121 0
922908540194;45;D;1;789582584928 5
961088540184;46;D;1;789582518507 9
961058540184;47;D;1;789582583041 2
961250130036E;48;D;1;789000240584 1
961280130136;49;D;1;789582526018 9
940788540074E;50;D;1;789582536647 8
940708540094E;51;D;1;789582536613 3
960788540064E;52;D;1;789582536674 4
330607170;52;D;1;230020050942 5
960758540064E;52;D;1;789000240780 7
922980131236;53;D;1;789582514707 7
961080130166;54;D;1;789582518330 3
940788530294;55;D;1;789582525234 4
960708530014E;56;D;1;789582536732 1
940780130116;57;D;1;789582522027 5
940880130016;60;D;1;789582516529 3
960780130056;61;D;1;789582522029 9
61306UC;61A;D;1;730020191003 4
61416NA;61B;D;1;789000238099 5
61522NA;61C;D;1;789000237983 8
61523AG;61D;D;1;730020191050 8
960780130016;62;D;1;789582517544 5
I6001;65;D;1;789582521488 5
71119B;66;D;1;789000233492 9
940708530144E;66A;D;1;789582515944 5
940708610014E;67;D;1;789582536602 7
941080130086;69;D;1;789582516966 6
922980131486E;70;D;1;789582514732 9
922980131476;71;D;1;789582514731 2
922950131536;72;D;1;789000040912 4
922980131516;73;D;1;789582536769 7
922580130826;74;D;1;789582512552 5
