Cód.Original;Baia;;Nível;Cód.Barras
3681H202E; 087;A;2;789582502486 6
40408B; 087;A;2;230020050472 7
50971600; 087;A;2;720020050077 2
70201OR; 087;A;2;130020050047 8
JC57280; 087;A;2;120020050259 8
50915401; 088;A;2;720020050062 8
70901SC; 088;A;2;130020050046 1
70490743E; 088;A;2;789582508812 7
JC57600/6; 088;A;2;120020050076 1
50930409; 089;A;2;720020050068 0
42095; 089;A;2;230020050935 7
70701SC; 089;A;2;789354801475 1
70701U; 089;A;2;730020051131 7
70203SC; 090;A;2;789000232411 1
7008019R1E; 090;A;2;789582537516 6
78958; 090;A;2;789582507542 4
50971400; 090;A;2;720020050075 8
43007-1M; 091;A;2;230020050482 6
70490292E; 091;A;2;789582504080 4
43007-2M; 092;A;2;230020050385 0
70490291E; 092;A;2;789582504079 8
R70490290E; 093;A;2;789582534609 8
70490290; 093;A;2;789000204916 8
ERR7154A; 094;A;2;100020057055 5
50965300; 095;A;2;720020050072 7
70490307RE; 095;A;2;789582507810 4
70490307; 095;A;2;230020050933 3
50953055;096B;A;2;720020050093 2
70490284E;099A;A;2;789582504075 0
7006600C1E;100;A;2;789582534110 9
70490836;100;A;2;789582508873 8
3681A049;100A;A;2;100010010709 7
3681A021;101;A;2;100020051002 5
50923390;102;A;2;720020030842 2
70490407RE;102;A;2;789582508589 8
70356AG;102;A;2;730020051173 7
70356NA;102;A;2;789000235252 7
3681A032;103;A;2;789582507536 3
50970140;104;A;2;720020050096 3
70218CB;104;A;2;130020050461 2
3681C001E;104;A;2;789582502478 1
50970150;104;A;2;720020050097 0
0153681C003;105;A;2;789002250271 1
3681C005;105;A;2;100020052894 5
70125B;105;A;2;730020051150 8
7008109R1;105;A;2;789000041001 4
70219SI;105;A;2;789000240451 6
3681C003P;105;A;2;789000236322 6
3681C003E;105;A;2;789582502479 8
50941055;106;A;2;720020050089 5
70226CB;106;A;2;130020050062 1
70490154E;106;A;2;789582503996 9
36811438;107;A;2;100020051208 1
50924950;107;A;2;720020050086 4
70490139;108;A;2;100020051155 8
70826CB;108;A;2;730020051159 1
50909855;108;A;2;720020050081 9
70726CB;109;A;2;130020050065 2
50905650;109;A;2;720020050079 6
70490096E;109;A;2;789582503962 4
70317NA;111;A;2;789000235257 2
70317AN;111;A;2;130020050070 6
70490370E;111;A;2;789582507870 8
50922398;111;A;2;720020050085 7
70318AG;112;A;2;789000238656 0
70318CB;112;A;2;789854427090 3
70317CB;112;A;2;130020050071 3
50949753;112;A;2;720020050092 5
28311B;112;A;2;230020050228 0
70490178E;112;A;2;789582504009 5
70317AG;112;A;2;730020051217 8
50971190;113;A;2;720020050098 7
70490393;113A;A;2;789582507891 3
70115CBLT;114;A;2;789000233474 5
50965450;114;A;2;720020050095 6
70490300E;114;A;2;789582536913 4
73016NA;114;A;2;789000235452 1
80964650;114;A;2;720020050784 9
43011B;114;A;2;230020300297 8
41424209RE;115;A;2;789582519603 7
70490859E;115A;A;2;789582536902 8
70490391RE;116;A;2;789582508791 5
50915290;116;A;2;720020050138 0
70529AG;116;A;2;730020051177 5
70529NA;116;A;2;130020050138 3
70529AN;116;A;2;789000240452 3
70490391;116;A;2;100020054061 9
50932453;117;A;2;720020050852 5
70216CB;117;A;2;130020050073 7
70490177;117;A;2;100020051193 0
70490371E;118;A;2;789582507871 5
70216NA;118;A;2;789000235450 7
70216AN;118;A;2;130020050072 0
50932490;118;A;2;720020050088 8
70328NA;119;A;2;789000235270 1
50949090;119;A;2;720020010698 1
70490368;119;A;2;100020054046 6
U10996920;119;A;2;789000239381 0
50918798;119;A;2;720020050141 0
70328AN;119;A;2;130020050141 3
70328AG;119;A;2;730020051168 3
70490368RE;119;A;2;789582508586 7
4236196;11A;A;2;100020052680 4
50924890;120;A;2;720020050145 8
70329AG;120;A;2;730020051169 0
70329NA;120;A;2;789000235259 6
70490311RE;120;A;2;789582508588 1
70329AN;120;A;2;130020050134 5
70319NA;121;A;2;789000235203 9
70358AN;121;A;2;130020050125 3
70490369RE;121;A;2;789582508574 4
70319AG;121;A;2;789000235267 1
70391NA;122;A;2;789000217554 6
70490413RE;122;A;2;789582508590 4
50943598;122;A;2;720020050660 6
36813117;123;A;2;100020054154 8
70429NA;123;A;2;789000235266 4
70429AN;123;A;2;130020050133 8
50936998;124;A;2;720020010692 9
70490365RE;124;A;2;789582508587 4
70382AG;124;A;2;789000233668 8
70382NA;124;A;2;789000235254 1
70490365;124;A;2;100020054096 1
70490132E;125;A;2;789582503982 2
50915953;125;A;2;720020050703 0
70918CB;125;A;2;130020050076 8
70515AG;126;A;2;730020051220 8
70490404RE;126;A;2;789582508792 2
70515NA;126;A;2;789854428943 1
80963550;126;A;2;720020010700 1
80924694;126;A;2;720020050654 5
70490404;126;A;2;100020054073 2
70515AN;126;A;2;130020050067 6
0999694RE;127;A;2;789582508694 9
70015AG;127;A;2;730020051212 3
70015NA;127;A;2;789854428607 2
80919350;127;A;2;720020050100 7
70128AG;128;A;2;730020051522 3
U5MK0641E;128;A;2;789582508794 6
70218NA;129;A;2;789000236088 1
3681P009E;129;A;2;789582502491 0
70218AG;129;A;2;730020051521 6
7008240R1E;129;A;2;789000040968 1
50948090;129;A;2;720020050782 5
70228NA;130;A;2;130020050135 2
70228NA;130;A;2;789000235451 4
70490338E;130;A;2;789582507836 4
70229AG;130;A;2;730020051167 6
70728AG;131;A;2;730020051179 9
70928AG;131;A;2;730020051181 2
70490092E;131;A;2;789582503960 0
50916898;131;A;2;720020050706 1
70928AN;131;A;2;130020050136 9
70490395E;132;A;2;789582507893 7
50916796;132;A;2;720020050106 9
70831NA;132;A;2;789000237534 2
70490701E;132A;A;2;789582507919 4
70120NAK;133;A;2;789854401794 2
70120SC;133;A;2;170020020683 5
70490308E;133;A;2;789582536906 6
43015B;133;A;2;230020020298 2
73021FA;133;A;2;789012335453 0
70490299;133;A;2;100020338581 1
50977147;133;A;2;720020050663 7
7008313R1E;133;A;2;789000240854 5
70490309E;134;A;2;789582536669 0
70127BO;134;A;2;100020025968 9
73326B;134;A;2;730020051563 6
7008314R1E;134;A;2;789000240784 5
50963644;134;A;2;720020050094 9
50948467;135;A;2;720020050154 0
ERR4120AE;135;A;2;789582506328 5
7007091R1E;135;A;2;789582534716 3
73028SV;135;A;2;789000238305 7
70490302E;135A;A;2;789582507807 4
73027NA;135A;A;2;789000238428 3
42011B;136;A;2;230020050497 0
